area,month,lst_avg,lst_max,lst_min,lst_volatility,ndvi_avg,ndvi_peak,ndvi_volatility,no2_avg,no2_peak,no2_volatility
Satellite,2021-01-01,27.176113641960136,28.38559796437661,25.281501272264645,0.8379715307930334,0.21313379189783585,0.23455935758696045,0.022405806482511736,0.00021418769110389705,0.0003843653534085,5.66253881165355e-05
Satellite,2021-02-01,32.05450995092696,36.62745547073794,27.909204834605625,3.0096327122714825,0.2138033044031406,0.2210609082947557,0.006589338987167639,0.00018886119668779584,0.000437623374842,7.834498896804317e-05
Satellite,2021-03-01,38.14910438726096,40.39488231552167,36.31073791348602,1.4602641246149277,0.21080091200161885,0.23191566949632658,0.010515285555340618,0.00018675318408744703,0.00056088219261905,8.768415448966188e-05
Satellite,2021-04-01,41.705804601357116,42.55243002544532,40.59457379134864,0.41203429163199584,0.21372830447790286,0.23601542478052356,0.018776259878974386,0.00014107393241360663,0.00026355388744955,5.1715723211740774e-05
Satellite,2021-05-01,38.43135198637448,42.69893129770995,34.70580152671758,2.827963822896475,0.18436713198416083,0.2135180324509495,0.022926296158547847,0.00011498017937538652,0.0002048291590461,2.8812183028814816e-05
Satellite,2021-06-01,33.44517631757458,35.48017493638681,32.714245439469344,0.7302771954079771,0.17628686561234846,0.18932091274650054,0.007913382098525873,0.00010143150837821272,0.0001510905860462,1.69268429758345e-05
Satellite,2021-07-01,33.528491306191704,33.6689055873622,33.38807702502122,0.08511091019799681,0.20370330958418562,0.21718680661951534,0.008172905887937763,9.92066366925793e-05,0.00013976378823685,2.1046447301304972e-05
Satellite,2021-08-01,33.818680820610716,33.9590951017812,33.67826653944023,0.08511091019799681,0.23156920345720042,0.24505270049253017,0.008172905887937754,9.127453903472242e-05,0.0001306294883692,1.4851745807090795e-05
Satellite,2021-09-01,34.1041898589907,34.23992366412217,33.968456053859235,0.08240828444434857,0.25898564742903757,0.27201969456318964,0.007913382098525677,0.00010346143743418123,0.0001700819320645,2.4096105584879335e-05
Satellite,2021-10-01,33.906397849462394,34.41842239185753,32.958412849872786,0.5115131405986607,0.2792328903574577,0.29606697781509606,0.009180304544669138,0.00015021681913332372,0.000294993334764,4.823753173720544e-05
Satellite,2021-11-01,31.627542408821064,32.90020356234098,28.963893129771023,0.9152146221357677,0.2481537174154294,0.2703646408224284,0.011720345353617666,0.00016853307255491407,0.0002800155171574,4.2629571681338276e-05
Satellite,2021-12-01,26.622772305671862,28.450814249363898,23.983155216285,1.3085607379626887,0.19835594581066232,0.26168501906464203,0.04549156193739927,0.0001518075985708345,0.0002709209204618,4.2832946872962734e-05
Satellite,2022-01-01,24.47818558647298,27.594656488549642,21.11603053435116,2.0181805777888546,0.20679348984641616,0.24490062428864134,0.02484372709372015,0.0001712575428933776,0.0003109996298302,5.360980985940614e-05
Satellite,2022-02-01,31.40212888495095,34.604522900763385,27.810305343511473,2.104419244953111,0.20643041135514467,0.21926793993037497,0.01854589860751506,0.00017711806353666964,0.0003692064884414,6.841697721435921e-05
Satellite,2022-03-01,38.53572590905363,41.18502544529265,34.93066475826975,1.7353133966779466,0.2127071045180251,0.2277201883537397,0.0074416159968599925,0.00014347601293797057,0.0002885714614328,5.474690097419878e-05
Satellite,2022-04-01,42.24611068702293,44.32959287531809,41.29000000000003,0.8990313639629505,0.2251699616013583,0.2385471563302396,0.009637207744033274,0.00011614922429063957,0.000159864832198,1.631871458495962e-05
Satellite,2022-05-01,38.89216572272842,41.095216284987295,37.04073791348604,1.4482159850233272,0.2017813350385623,0.211021191637938,0.00691088793951024,9.635370649101486e-05,0.0001261476895515,1.3509995142739276e-05
Satellite,2022-06-01,36.87472110899069,39.274961832061095,34.40780852417305,1.6217291906993692,0.2182641157986474,0.2250397545296336,0.004113704491628893,0.00010984896080210495,0.00015780701308105,2.04703990256877e-05
Satellite,2022-07-01,32.24848282442751,34.272850667938954,30.22411498091607,1.2270531765042083,0.23251632140520456,0.23952560285105237,0.004248615729945964,8.696581001699004e-05,0.0001463975795678,2.569024794825461e-05
Satellite,2022-08-01,29.379446103176598,33.450305343511495,27.390000000000043,1.538163802182205,0.24700216972662337,0.25401145117247115,0.00424861572994597,8.36925833062291e-05,0.00013941406846035,2.1246735945920483e-05
Satellite,2022-09-01,33.681601285180385,37.086488549618366,31.332111959287555,1.607542722366552,0.2612543753331805,0.26803001406416677,0.004113704491628918,0.00010209856022032881,0.00016048709825445,2.6620763386293326e-05
Satellite,2022-10-01,34.47921160633672,34.60570504664973,34.09238549618323,0.13644498313059558,0.27702189059708837,0.28354838123969633,0.0052529186246432534,0.0001595068578391086,0.00030999012736270004,5.122322707137141e-05
Satellite,2022-11-01,31.19380746395252,34.03684478371504,28.949274809160332,1.4952990174774567,0.22534031578030708,0.2730855850097299,0.04507682577623113,0.00020491385657095084,0.0003450302441805,4.818084965511747e-05
Satellite,2022-12-01,28.017764097512956,29.51989821882955,24.87728244274811,1.2633375623652274,0.23095762049242521,0.254348012676682,0.0265161842131389,0.00017777566443834522,0.00035212936657205,4.552783865179843e-05
Satellite,2023-01-01,25.283052716900627,28.28121501272266,24.4382697201018,0.922492333903657,0.2111805133033758,0.24548928109343854,0.02923857946303853,0.0001652195455239827,0.00030791361064528753,3.963361901978763e-05
Satellite,2023-02-01,32.45171017357327,34.398931297709936,28.841816157760825,1.6742107407613744,0.21510844845471985,0.23271378212173044,0.006216354224993993,0.00019550068395345464,0.00030299506540938,4.8783784324199545e-05
Satellite,2023-03-01,34.390899101206614,35.81577290076338,33.29468193384226,0.6163680079309451,0.21711757309690333,0.2249588193455153,0.006450047372625475,0.00015442332069197105,0.000235365752005375,4.0264826668077354e-05
Satellite,2023-04-01,39.486995016963554,41.08697201017815,36.24317430025447,1.416593751001075,0.22450884386416006,0.23663608504799274,0.014357420132911438,0.00013234949958833284,0.0002644855997795,3.595619178278465e-05
Satellite,2023-05-01,39.748744356890775,43.58608142493642,36.568613231552185,2.359930444595434,0.21445621528031253,0.2274235733165133,0.007767179907932738,0.00012017403962194413,0.0002477719466207,3.470925944434403e-05
Satellite,2023-06-01,33.352875847570616,36.51859414758272,31.304880000000043,1.690427938259201,0.22394110968109254,0.23178744745916716,0.0047637597342509415,0.0001032691205309749,0.000143466128313,2.051523644183365e-05
Satellite,2023-07-01,31.916486833878633,32.37519195928758,31.457781708469692,0.27804017091848954,0.24044547535221497,0.24856237650194732,0.004919989897623296,9.301516407587671e-05,0.0001429821381523,1.8588749887506175e-05
Satellite,2023-08-01,32.914144803150236,33.56477817943827,32.4057723009815,0.3488944914622819,0.25722040439499516,0.2653373055447275,0.0049199898976230675,7.511304348370361e-05,0.0001006917410104,1.1345723287078524e-05
Satellite,2023-09-01,34.040253653173345,34.3050480769231,33.598426811142126,0.23852528133141135,0.27372477006611756,0.28157110784419215,0.004763759734250713,0.00010718130812062422,0.00018634791405895001,2.3210118467587834e-05
Satellite,2023-10-01,34.278449889189886,34.78010178117051,32.67399491094151,0.6128154467078084,0.2548914102861087,0.28373561481745413,0.01439400529775022,0.0001696513693475259,0.0003076237382629,6.62747792670335e-05
Satellite,2023-11-01,29.88775169635287,32.472519083969495,26.438447837150136,2.2493342077999827,0.2449429022687128,0.27221362155855877,0.013139054990136406,0.0001684001883637664,0.0003739232921649,6.106708175521318e-05
Satellite,2023-12-01,26.028939097390744,27.503536895674333,23.66364513787522,0.907664337519506,0.25548182573392986,0.26462290142141076,0.008319767249462985,0.00014230577583788318,0.0002317067256636,4.103855209230198e-05
Satellite,2024-01-01,25.58358634983176,27.373651399491123,23.21880407124684,0.9434219524108589,0.20591506726003117,0.24337546064199606,0.018174442165034325,0.0001696015660677059,0.0003425687737377,6.139569927540404e-05
Satellite,2024-02-01,29.575554531894387,31.00720419847332,27.592652671755758,1.110004959873223,0.21878261472986021,0.2240924041174555,0.006405866324156969,0.00014225677229536563,0.000246025784872,5.0637978295373066e-05
Satellite,2024-03-01,34.361353422802296,36.58195928753183,31.30268447837154,1.4980996387043317,0.2200095409093501,0.2257039460100651,0.0037083526880696996,0.0001329056263466867,0.0002554696816506,4.1664903173178044e-05
Satellite,2024-04-01,39.11743034351149,41.32501272264634,35.57179707379138,1.5960748915723895,0.22464516704779108,0.2306332843765428,0.005138056882636096,0.00012196266194415076,0.0002254643272424,4.170082843245588e-05
Satellite,2024-05-01,38.046167610604975,40.933492366412246,36.50432569974559,1.1704696309175766,0.197531738711339,0.2346151704253882,0.01843444905359491,0.00011342715496003757,0.000157744564734,1.9018732764658104e-05
Satellite,2024-06-01,33.320748853265506,37.49447837150131,30.10465648854965,3.1735252089705837,0.2063108338536645,0.21634846214012826,0.006094161481557786,0.00010695079832441434,0.00013408117331785001,1.6908362771249348e-05
Satellite,2024-07-01,31.651549378407893,32.45166639040353,30.851432366412247,0.4849840528198288,0.22742446576657102,0.23780821916636108,0.006294022913912538,9.100357575943294e-05,0.0001454819542521,2.1267790792516652e-05
Satellite,2024-08-01,32.31984159973113,33.09176000000004,31.05086444444448,0.6182562125033636,0.24888422279280384,0.2592679761925939,0.006294022913912536,7.506138905080614e-05,0.0001029577922418,1.1319631347990885e-05
Satellite,2024-09-01,30.844499363302262,31.416488549618354,30.5137866666667,0.2035641648075082,0.26999785470571036,0.28003548299217407,0.006094161481557975,8.723436415988124e-05,0.0001224170923944,1.6650064112973517e-05
Satellite,2024-10-01,32.883078469999205,33.954503816793924,31.4258269720102,0.7724791271923616,0.285878098549415,0.28846897816538386,0.001919362560520494,0.00016397732236864265,0.0003161686320762,6.363660444879058e-05
Satellite,2024-11-01,29.53161620016966,33.28146946564887,26.361475826972033,2.247218511622551,0.2585176247191831,0.29004481048531705,0.012217130660794464,0.00016846020007598713,0.000239388710912,3.65396992847415e-05
Satellite,2024-12-01,24.16866986784867,26.18525445292623,23.370839694656524,0.7550317820115304,0.24869534228500317,0.2575238783775897,0.0059769915142301655,0.00014419899765177405,0.0001863167177011,2.2422414952730617e-05
Satellite,2025-01-01,25.02841613313636,26.11389312977101,23.256437659033104,1.0395878298888463,0.22816835174094144,0.26314715889288876,0.01793908563437914,0.00015352698332258297,0.0003352423030332,5.652103629637429e-05
Satellite,2025-02-01,28.89708901308619,31.83281806615781,25.991797073791375,1.5489651746763775,0.21735608584388302,0.2264840834105742,0.004778106813462657,0.0001370342388194374,0.0002225100840699,3.4303655835762806e-05
Satellite,2025-03-01,35.335752893376046,37.36570928753182,32.37310750636137,1.1235613051493367,0.21986214473240914,0.2369646174738786,0.0066280083902853365,0.00015589559938552702,0.0002608862939315,5.477830002886721e-05
Satellite,2025-04-01,37.96863411789654,39.20838104325702,37.37964376590333,0.6381162985619524,0.23007467462087677,0.24523252436930293,0.007523475597378062,0.00011343413179547813,0.00019632424336055997,2.251943182392385e-05
Satellite,2025-05-01,34.616826417959466,39.296132315521646,31.12788804071249,2.387299590106379,0.21185435280580334,0.2251037019546766,0.009584360471681094,0.00011770506969801437,0.0001494370485919,1.750548997216088e-05
Satellite,2025-06-01,33.029534730525185,33.44073791348603,32.36642692909044,0.34464036717209906,0.154186567451799,0.1879012707400523,0.02046926228763609,9.928964222118532e-05,0.0001379689797852,1.977994313200315e-05
