LST,area,date
33.93414852752884,Chandkheda,2022-02-18
35.1630601792574,Chandkheda,2022-02-26
37.76951344430221,Chandkheda,2022-03-06
40.60413572343152,Chandkheda,2022-03-14
40.69023047375164,Chandkheda,2022-03-22
42.97860435339312,Chandkheda,2022-03-30
43.35545454545457,Chandkheda,2022-04-07
43.7906402048656,Chandkheda,2022-04-15
46.31499359795138,Chandkheda,2022-04-23
42.366389244558285,Chandkheda,2022-05-01
42.061062740076856,Chandkheda,2022-05-09
39.97886043533934,Chandkheda,2022-05-17
38.14206145966712,Chandkheda,2022-05-25
38.62244558258646,Chandkheda,2022-06-02
39.454327784891206,Chandkheda,2022-06-10
36.979167733674814,Chandkheda,2022-06-18
37.0640640204866,Chandkheda,2022-06-26
37.14896030729837,Chandkheda,2022-07-04
37.23385659411015,Chandkheda,2022-07-12
37.318752880921934,Chandkheda,2022-07-20
37.40364916773372,Chandkheda,2022-07-28
37.488545454545495,Chandkheda,2022-08-05
37.57344174135727,Chandkheda,2022-08-13
37.658338028169055,Chandkheda,2022-08-21
37.74323431498084,Chandkheda,2022-08-29
37.828130601792616,Chandkheda,2022-09-06
30.60142125480158,Chandkheda,2022-09-14
32.07000000000005,Chandkheda,2022-09-22
35.406081946222834,Chandkheda,2022-09-30
35.37714468629966,Chandkheda,2022-10-08
35.34820742637648,Chandkheda,2022-10-16
35.31927016645331,Chandkheda,2022-10-24
34.85901408450708,Chandkheda,2022-11-01
32.35504481434062,Chandkheda,2022-11-09
31.504494238156227,Chandkheda,2022-11-17
30.14595390524972,Chandkheda,2022-11-25
29.026747759283,Chandkheda,2022-12-03
29.83199743918056,Chandkheda,2022-12-11
28.46224071702948,Chandkheda,2022-12-19
27.64935979513449,Chandkheda,2022-12-27
25.28508322663255,Chandkheda,2023-01-01
26.2219078104994,Chandkheda,2023-01-09
26.06557894736845,Chandkheda,2023-01-17
26.07107554417417,Chandkheda,2023-01-25
30.213303457106303,Chandkheda,2023-02-02
32.60941101152371,Chandkheda,2023-02-10
33.77983354673499,Chandkheda,2023-02-18
35.25320102432782,Chandkheda,2023-02-26
35.052842509603096,Chandkheda,2023-03-06
35.31888604353396,Chandkheda,2023-03-14
36.35553137003845,Chandkheda,2023-03-22
36.65991037131885,Chandkheda,2023-03-30
40.84810499359799,Chandkheda,2023-04-07
42.15153649167737,Chandkheda,2023-04-15
40.99793854033294,Chandkheda,2023-04-23
39.56398207426378,Chandkheda,2023-05-01
45.13839948783614,Chandkheda,2023-05-09
42.74871959026891,Chandkheda,2023-05-17
38.65804097311142,Chandkheda,2023-05-25
37.34157490396931,Chandkheda,2023-06-02
35.60413572343154,Chandkheda,2023-06-10
33.680401195049114,Chandkheda,2023-06-18
31.756666666666696,Chandkheda,2023-06-26
31.407142857142883,Chandkheda,2023-07-04
31.057619047619067,Chandkheda,2023-07-12
30.70809523809525,Chandkheda,2023-07-20
30.35857142857144,Chandkheda,2023-07-28
30.009047619047628,Chandkheda,2023-08-05
29.65952380952381,Chandkheda,2023-08-13
29.31,Chandkheda,2023-08-21
34.43243277848916,Chandkheda,2023-08-29
34.132424242424285,Chandkheda,2023-09-06
33.83241570635941,Chandkheda,2023-09-14
33.53240717029454,Chandkheda,2023-09-22
34.249411011523726,Chandkheda,2023-09-30
34.67609475032013,Chandkheda,2023-10-08
35.20556978233037,Chandkheda,2023-10-16
34.62152368758005,Chandkheda,2023-10-24
33.34382842509606,Chandkheda,2023-11-01
32.22380281690145,Chandkheda,2023-11-09
30.32024327784895,Chandkheda,2023-11-17
26.685723431498104,Chandkheda,2023-11-25
27.7801920614597,Chandkheda,2023-12-03
26.980499359795164,Chandkheda,2023-12-11
26.008594436310425,Chandkheda,2023-12-19
26.45424242424248,Chandkheda,2023-12-27
23.8570934699104,Chandkheda,2024-01-01
26.60508322663256,Chandkheda,2024-01-09
25.346773367477613,Chandkheda,2024-01-17
26.38953905249684,Chandkheda,2024-01-25
28.257528809218982,Chandkheda,2024-02-02
29.79880921895009,Chandkheda,2024-02-10
31.66608194622283,Chandkheda,2024-02-18
31.26275288092193,Chandkheda,2024-02-26
33.69494238156214,Chandkheda,2024-03-05
35.293764404609504,Chandkheda,2024-03-13
37.20541613316264,Chandkheda,2024-03-21
35.94316261203589,Chandkheda,2024-03-29
38.41901408450708,Chandkheda,2024-04-06
40.41194622279133,Chandkheda,2024-04-14
40.98275288092192,Chandkheda,2024-04-22
42.17798975672219,Chandkheda,2024-04-30
40.02633802816905,Chandkheda,2024-05-08
39.127464788732425,Chandkheda,2024-05-16
37.44426376440466,Chandkheda,2024-05-24
38.19179257362359,Chandkheda,2024-06-01
37.77248399487839,Chandkheda,2024-06-09
37.29853571428576,Chandkheda,2024-06-17
35.79829297173419,Chandkheda,2024-06-25
34.298050229182614,Chandkheda,2024-07-03
32.797807486631044,Chandkheda,2024-07-11
32.88278543953469,Chandkheda,2024-07-19
32.96776339243834,Chandkheda,2024-07-27
33.052741345342,Chandkheda,2024-08-04
33.13771929824565,Chandkheda,2024-08-12
32.15514619883045,Chandkheda,2024-08-20
31.17257309941525,Chandkheda,2024-08-28
30.19000000000005,Chandkheda,2024-09-05
30.608540332906543,Chandkheda,2024-09-13
31.19462227912934,Chandkheda,2024-09-21
31.780704225352142,Chandkheda,2024-09-29
33.55478873239441,Chandkheda,2024-10-07
31.42871959026892,Chandkheda,2024-10-15
34.469282970550616,Chandkheda,2024-10-23
33.61133162612039,Chandkheda,2024-10-31
31.795300896286847,Chandkheda,2024-11-08
29.022215108834853,Chandkheda,2024-11-16
27.855685019206163,Chandkheda,2024-11-24
26.599961587708105,Chandkheda,2024-12-02
24.08362355953909,Chandkheda,2024-12-10
24.20265044814343,Chandkheda,2024-12-18
23.55961864406784,Chandkheda,2024-12-26
24.504929577464807,Chandkheda,2025-01-01
23.2901792573624,Chandkheda,2025-01-09
26.6628297055058,Chandkheda,2025-01-17
26.49791293213831,Chandkheda,2025-01-25
26.72641485275292,Chandkheda,2025-02-02
29.02854033290657,Chandkheda,2025-02-10
29.517964148527565,Chandkheda,2025-02-18
31.29120358514728,Chandkheda,2025-02-26
35.647669654289416,Chandkheda,2025-03-06
36.03501920614601,Chandkheda,2025-03-14
36.05524967989759,Chandkheda,2025-03-22
38.29530089628685,Chandkheda,2025-03-30
38.498553137003874,Chandkheda,2025-04-07
38.6601920614597,Chandkheda,2025-04-15
39.98710627400772,Chandkheda,2025-04-23
40.28193341869403,Chandkheda,2025-05-01
36.69261203585152,Chandkheda,2025-05-09
35.055966709347025,Chandkheda,2025-05-17
29.039270166453303,Chandkheda,2025-05-25
33.99911651728556,Chandkheda,2025-06-02
33.65379001280413,Chandkheda,2025-06-10
33.36449502520377,Chandkheda,2025-06-18
33.075200037603416,Chandkheda,2025-06-26
32.78590505000306,Chandkheda,2025-07-04
32.4966100624027,Chandkheda,2025-07-12
32.207315074802345,Chandkheda,2025-07-20
31.918020087201988,Chandkheda,2025-07-28
31.62872509960163,Chandkheda,2025-08-05
30.78076420202669,Chandkheda,2025-08-13
29.932803304451756,Chandkheda,2025-08-21
29.084842406876813,Chandkheda,2025-08-29
29.15952624839952,Chandkheda,2025-09-06
30.90800256081949,Chandkheda,2025-09-14
32.656478873239465,Chandkheda,2025-09-22
25.54426376440464,Chandkheda,2025-09-30
29.801805377720907,Chandkheda,2025-10-08
30.71468629961592,Chandkheda,2025-10-16
31.62756722151093,Chandkheda,2025-10-24
28.299679897567245,Chandkheda,2025-11-01
26.578834827144725,Chandkheda,2025-11-09
24.10146428571432,Chandkheda,2025-11-17
24.489470939272028,Chandkheda,2025-11-25
24.87747759282973,Chandkheda,2025-12-03
24.792304737516027,Chandkheda,2025-12-11
25.00503201024331,Chandkheda,2025-12-19
22.876248399487874,Chandkheda,2025-12-27
21.71714468629964,Chandkheda,2026-01-01
23.380166453265065,Chandkheda,2026-01-09
20.120909090909123,Chandkheda,2026-01-17
21.72605633802819,Chandkheda,2026-01-25
26.10288135593221,Chandkheda,2026-02-02
27.000960307298364,Chandkheda,2026-02-10
30.672176696542927,Chandkheda,2026-02-18
31.26193341869401,Chandkheda,2026-02-26
33.721702944942415,Chandkheda,2026-03-06
27.724943396226443,Gota,2018-01-01
29.777899371069203,Gota,2018-01-09
30.7355094339623,Gota,2018-01-17
30.68381132075473,Gota,2018-01-25
31.18509433962266,Gota,2018-02-02
32.02134591194971,Gota,2018-02-10
35.1864528301887,Gota,2018-02-18
36.2806918238994,Gota,2018-02-26
38.56222641509435,Gota,2018-03-06
38.167509433962266,Gota,2018-03-14
41.32174842767298,Gota,2018-03-22
42.9532704402516,Gota,2018-03-30
41.56177358490567,Gota,2018-04-07
44.68207547169815,Gota,2018-04-15
45.38011320754719,Gota,2018-04-23
45.16972327044027,Gota,2018-05-01
45.62874213836481,Gota,2018-05-09
45.25060377358493,Gota,2018-05-17
44.5338490566038,Gota,2018-05-25
41.48235220125788,Gota,2018-06-02
39.48650314465412,Gota,2018-06-10
41.21362264150946,Gota,2018-06-18
40.14235723270443,Gota,2018-06-26
39.071091823899394,Gota,2018-07-04
37.99982641509437,Gota,2018-07-12
36.928561006289335,Gota,2018-07-20
35.8572955974843,Gota,2018-07-28
34.78603018867927,Gota,2018-08-05
33.71476477987424,Gota,2018-08-13
32.64349937106921,Gota,2018-08-21
31.57223396226418,Gota,2018-08-29
30.500968553459145,Gota,2018-09-06
34.95357232704405,Gota,2018-09-14
34.088641509433984,Gota,2018-09-22
36.20066666666669,Gota,2018-09-30
35.12876729559752,Gota,2018-10-08
38.21764779874216,Gota,2018-10-16
37.06901886792454,Gota,2018-10-24
35.98333333333335,Gota,2018-11-01
35.37357232704405,Gota,2018-11-09
35.193974842767325,Gota,2018-11-17
32.81357232704405,Gota,2018-11-25
30.17405031446544,Gota,2018-12-03
29.215685534591227,Gota,2018-12-11
29.28240251572329,Gota,2018-12-19
27.96886792452833,Gota,2018-12-27
28.92959748427676,Gota,2019-01-01
28.0365911949686,Gota,2019-01-09
30.452993710691857,Gota,2019-01-17
27.690503144654112,Gota,2019-01-25
28.170226415094376,Gota,2019-02-02
31.244566037735886,Gota,2019-02-10
35.508666666666684,Gota,2019-02-18
33.92366037735851,Gota,2019-02-26
36.4458490566038,Gota,2019-03-06
39.220465408805055,Gota,2019-03-14
42.72881761006291,Gota,2019-03-22
45.08494339622644,Gota,2019-03-30
46.31030188679249,Gota,2019-04-07
45.115584905660405,Gota,2019-04-15
47.92200000000002,Gota,2019-04-23
46.55913207547174,Gota,2019-05-01
44.22932075471701,Gota,2019-05-09
44.8064779874214,Gota,2019-05-17
46.52640251572329,Gota,2019-05-25
45.306578616352205,Gota,2019-06-02
41.600213836478005,Gota,2019-06-10
38.1864779874214,Gota,2019-06-18
38.0523273162896,Gota,2019-06-26
37.9181766451578,Gota,2019-07-04
37.784025974026,Gota,2019-07-12
35.724186046511655,Gota,2019-07-20
35.35679676758815,Gota,2019-07-28
34.98940748866464,Gota,2019-08-05
34.622018209741135,Gota,2019-08-13
34.25462893081763,Gota,2019-08-21
33.74845534591197,Gota,2019-08-29
33.24228176100631,Gota,2019-09-06
32.73610817610066,Gota,2019-09-14
32.229934591195,Gota,2019-09-22
31.723761006289337,Gota,2019-09-30
34.451132075471726,Gota,2019-10-08
33.3104779874214,Gota,2019-10-16
30.974377358490585,Gota,2019-10-24
31.80018867924531,Gota,2019-11-01
31.863685534591227,Gota,2019-11-09
31.91040251572329,Gota,2019-11-17
30.46169811320758,Gota,2019-11-25
28.822603773584937,Gota,2019-12-03
27.562704402515745,Gota,2019-12-11
28.53450314465412,Gota,2019-12-19
26.26647798742141,Gota,2019-12-27
26.729069182389964,Gota,2020-01-01
25.37880503144657,Gota,2020-01-09
28.386628930817626,Gota,2020-01-17
29.372339622641533,Gota,2020-01-25
28.88044025157233,Gota,2020-02-02
32.47249056603776,Gota,2020-02-10
33.45083018867926,Gota,2020-02-18
35.124415094339646,Gota,2020-02-26
34.50964779874215,Gota,2020-03-05
38.03694339622642,Gota,2020-03-13
38.26534591194971,Gota,2020-03-21
42.13337106918241,Gota,2020-03-29
42.82778616352204,Gota,2020-04-06
44.88486792452832,Gota,2020-04-14
45.71523270440255,Gota,2020-04-22
46.21689308176103,Gota,2020-04-30
46.01246540880504,Gota,2020-05-08
46.82222641509436,Gota,2020-05-16
46.76705660377363,Gota,2020-05-24
39.78672955974846,Gota,2020-06-01
37.29392452830192,Gota,2020-06-09
34.801119496855364,Gota,2020-06-17
38.00582389937109,Gota,2020-06-25
37.05443081761008,Gota,2020-07-03
36.10303773584907,Gota,2020-07-11
35.15164465408807,Gota,2020-07-19
34.20025157232706,Gota,2020-07-27
33.24885849056605,Gota,2020-08-04
32.297465408805046,Gota,2020-08-12
31.34607232704404,Gota,2020-08-20
30.39467924528303,Gota,2020-08-28
33.270503144654114,Gota,2020-09-05
32.407698113207566,Gota,2020-09-13
31.54489308176102,Gota,2020-09-21
34.0292201257862,Gota,2020-09-29
35.500817610062924,Gota,2020-10-07
36.89372327044029,Gota,2020-10-15
37.10408805031448,Gota,2020-10-23
34.44846540880507,Gota,2020-10-31
32.83309433962267,Gota,2020-11-08
32.94167295597485,Gota,2020-11-16
32.00813836477992,Gota,2020-11-24
32.741949685534614,Gota,2020-12-02
29.37173584905664,Gota,2020-12-10
28.98031446540884,Gota,2020-12-18
27.55752201257864,Gota,2020-12-26
27.73802515723273,Gota,2021-01-01
28.78044025157237,Gota,2021-01-09
29.96066666666669,Gota,2021-01-17
27.968415094339647,Gota,2021-01-25
29.70972327044028,Gota,2021-02-02
33.12932075471699,Gota,2021-02-10
35.46582389937108,Gota,2021-02-18
38.185371069182416,Gota,2021-02-26
39.40026415094341,Gota,2021-03-06
37.87991194968555,Gota,2021-03-14
41.8624025157233,Gota,2021-03-22
42.97233962264152,Gota,2021-03-30
43.92499371069184,Gota,2021-04-07
44.27583647798744,Gota,2021-04-15
43.8247421383648,Gota,2021-04-23
45.10896855345915,Gota,2021-05-01
44.445270440251576,Gota,2021-05-09
34.72391194968556,Gota,2021-05-17
36.75996226415097,Gota,2021-05-25
35.06081761006291,Gota,2021-06-02
35.96466666666669,Gota,2021-06-10
34.47886792452832,Gota,2021-06-18
32.99306918238996,Gota,2021-06-26
37.520918238993744,Gota,2021-07-04
36.814336627732885,Gota,2021-07-12
36.107755016472034,Gota,2021-07-20
35.401173405211175,Gota,2021-07-28
34.69459179395032,Gota,2021-08-05
33.988010182689465,Gota,2021-08-13
33.281428571428606,Gota,2021-08-21
38.074427672956,Gota,2021-08-29
36.71672955974845,Gota,2021-09-06
35.359031446540904,Gota,2021-09-14
34.00133333333336,Gota,2021-09-22
32.64363522012581,Gota,2021-09-30
33.273823899371095,Gota,2021-10-08
33.02982389937108,Gota,2021-10-16
33.10091823899372,Gota,2021-10-24
33.13800000000001,Gota,2021-11-01
31.945874213836497,Gota,2021-11-09
32.94142138364781,Gota,2021-11-17
32.47208805031449,Gota,2021-11-25
28.98939622641511,Gota,2021-12-03
28.81827672955978,Gota,2021-12-11
28.35193710691828,Gota,2021-12-19
25.651509433962293,Gota,2021-12-27
29.08091823899373,Gota,2022-01-01
25.75324528301889,Gota,2022-01-09
29.14408805031449,Gota,2022-01-17
28.772062893081785,Gota,2022-01-25
29.928867924528326,Gota,2022-02-02
31.820540880503167,Gota,2022-02-10
34.527433962264176,Gota,2022-02-18
35.881220125786186,Gota,2022-02-26
38.32172327044027,Gota,2022-03-06
41.1497987421384,Gota,2022-03-14
40.89208805031449,Gota,2022-03-22
43.51347169811322,Gota,2022-03-30
43.20776100628933,Gota,2022-04-07
44.71155974842768,Gota,2022-04-15
47.11301886792455,Gota,2022-04-23
43.31140880503148,Gota,2022-05-01
42.77779874213838,Gota,2022-05-09
41.23143396226418,Gota,2022-05-17
39.950477987421415,Gota,2022-05-25
41.91437735849059,Gota,2022-06-02
40.61010062893085,Gota,2022-06-10
38.287157232704416,Gota,2022-06-18
37.172004766116366,Gota,2022-06-26
36.05685229952832,Gota,2022-07-04
34.94169983294027,Gota,2022-07-12
33.82654736635222,Gota,2022-07-20
32.71139489976417,Gota,2022-07-28
31.596242433176126,Gota,2022-08-05
30.48108996658808,Gota,2022-08-13
29.36593750000003,Gota,2022-08-21
32.871654284591216,Gota,2022-08-29
36.3773710691824,Gota,2022-09-06
31.178276729559784,Gota,2022-09-14
31.874955974842788,Gota,2022-09-22
34.36504402515727,Gota,2022-09-30
32.41376130198919,Gota,2022-10-08
33.69623285225248,Gota,2022-10-16
34.97870440251576,Gota,2022-10-24
34.40828930817612,Gota,2022-11-01
32.307710691823935,Gota,2022-11-09
31.647006289308184,Gota,2022-11-17
30.27722012578619,Gota,2022-11-25
29.108213836478004,Gota,2022-12-03
30.82338364779876,Gota,2022-12-11
28.732088050314488,Gota,2022-12-19
