area,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndvi_count,date
Gota,0.46489785657599225,0.4199571375248488,0.4925188868194937,0.034216663074441836,6,2021-10-01
Gota,0.3791871589630672,0.3261617753822149,0.4218355201039233,0.034473744462124686,10,2021-11-01
Gota,0.3270032080822375,0.281989529599918,0.3810234027522739,0.03511737720776305,7,2021-12-01
Gota,0.28416899445470717,0.2371923842515268,0.3273566892709597,0.03912132471875559,8,2022-01-01
Gota,0.2809293658946084,0.24934000426439,0.2921984071030742,0.013963757991270205,12,2022-02-01
Gota,0.2732906429673664,0.2658461149725987,0.2818398901623852,0.00618424159969849,8,2022-03-01
Gota,0.26821896579963345,0.256521796128002,0.2841049121779723,0.01201123293629096,9,2022-04-01
Gota,0.229561582759508,0.219215732483704,0.2364468830759162,0.007035585851878817,8,2022-05-01
Gota,0.43790496391312095,0.4134815170029026,0.4542096336291669,0.014333642027587822,10,2022-10-01
Gota,0.3663086671014823,0.3333370135146442,0.414030328449141,0.028344591033765142,10,2022-11-01
Gota,0.31305525116521177,0.2441172186350116,0.3462617073711442,0.03776852735178555,10,2022-12-01
Gota,0.29706615336498227,0.2459404352671705,0.3204294222281048,0.024415845643188962,11,2023-01-01
Gota,0.2848245579769578,0.2747049503907005,0.3034842277399206,0.010814017055484022,10,2023-02-01
Gota,0.27743985804299054,0.2617920925968392,0.2950895478833719,0.013361562190995527,10,2023-03-01
Gota,0.257638423905544,0.2116590871343971,0.2760401099936318,0.028351195778509086,8,2023-04-01
Gota,0.2353709579936584,0.2195168759601749,0.2545969238422219,0.014384778408775866,10,2023-05-01
Gota,0.3955586959435225,0.3744223326146066,0.4459987766429064,0.024495907432830834,12,2023-10-01
Gota,0.35338132331124755,0.3285918432698183,0.3926463921496911,0.029724159997200697,6,2023-11-01
Gota,0.3675790383206821,0.3514577240408837,0.3853935261318428,0.012028247501445613,6,2023-12-01
Gota,0.3113232224510146,0.2587341510040973,0.3605650564575632,0.040661413015244376,7,2024-01-01
Gota,0.3125611742548642,0.3123706427649403,0.312751705744788,0.00026945221710947433,2,2024-02-01
Gota,0.2805900996056963,0.2656516100140841,0.2913523888918933,0.009801300411176342,10,2024-03-01
Gota,0.2698086926271691,0.2648512487326213,0.2756819859539308,0.0051364850794158,5,2024-04-01
Gota,0.22358650420127443,0.1410838369921629,0.2656633255842156,0.03688966507601423,13,2024-05-01
Gota,0.45072808083190347,0.4302941125601683,0.4626270223814801,0.014859696889251843,6,2024-10-01
Gota,0.39208200485099276,0.3584671632633541,0.4330199639397253,0.02182962857180563,12,2024-11-01
Gota,0.3489568740919587,0.3399534873609086,0.359382563180688,0.007351535028909478,10,2024-12-01
Gota,0.3241875266302028,0.2847896292610011,0.3576397779823598,0.02429205286089234,14,2025-01-01
Gota,0.278129587234825,0.209589315257874,0.3119062970602709,0.04105254773572807,8,2025-02-01
Gota,0.274408207815685,0.2586312970012846,0.2856380707758894,0.00983035285446043,12,2025-03-01
Gota,0.25889272222619064,0.249137499072143,0.2728359255505255,0.008572273886215105,16,2025-04-01
