NDVI,area,date
0.2657537331807132,Prahlad Nagar,2023-03-03
0.266840391360295,Prahlad Nagar,2023-03-03
0.2820977396624572,Prahlad Nagar,2023-03-08
0.2834231978524143,Prahlad Nagar,2023-03-08
0.2654959825333925,Prahlad Nagar,2023-03-18
0.2651818314967824,Prahlad Nagar,2023-03-18
0.2737885361172267,Prahlad Nagar,2023-03-23
0.2743919507135898,Prahlad Nagar,2023-03-23
0.2737117388806421,Prahlad Nagar,2023-03-28
0.2734743152733313,Prahlad Nagar,2023-03-28
0.2701815825709475,Prahlad Nagar,2023-04-02
0.2682215683767699,Prahlad Nagar,2023-04-02
0.281948990992841,Prahlad Nagar,2023-04-17
0.2819417033530094,Prahlad Nagar,2023-04-17
0.2816425041665806,Prahlad Nagar,2023-04-22
0.2806171405687869,Prahlad Nagar,2023-04-22
0.235759176478512,Prahlad Nagar,2023-04-27
0.2365364452400988,Prahlad Nagar,2023-04-27
0.2710544632416055,Prahlad Nagar,2023-05-07
0.2719403198631208,Prahlad Nagar,2023-05-07
0.268719197744776,Prahlad Nagar,2023-05-12
0.2683591970115481,Prahlad Nagar,2023-05-12
0.2537242666645413,Prahlad Nagar,2023-05-17
0.2521608138495292,Prahlad Nagar,2023-05-17
0.2479919630111669,Prahlad Nagar,2023-05-22
0.2490792674208627,Prahlad Nagar,2023-05-22
0.2448640237013188,Prahlad Nagar,2023-05-27
0.2449302309307337,Prahlad Nagar,2023-05-27
0.3716076808220634,Prahlad Nagar,2023-10-04
0.3712230015422972,Prahlad Nagar,2023-10-04
0.3157523172362385,Prahlad Nagar,2023-10-09
0.3175411393461679,Prahlad Nagar,2023-10-09
0.2089271153686948,Prahlad Nagar,2023-10-14
0.2148644399962366,Prahlad Nagar,2023-10-14
0.332087816059893,Prahlad Nagar,2023-10-19
0.3295779683570117,Prahlad Nagar,2023-10-19
0.3228607677358328,Prahlad Nagar,2023-10-24
0.3218099585178604,Prahlad Nagar,2023-10-24
0.3346734952701735,Prahlad Nagar,2023-10-29
0.3314411950168064,Prahlad Nagar,2023-10-29
0.2665249037375619,Prahlad Nagar,2023-11-03
0.2599753670588273,Prahlad Nagar,2023-11-03
0.3516220282553508,Prahlad Nagar,2023-11-18
0.3492293315840733,Prahlad Nagar,2023-11-18
0.2967737757193644,Prahlad Nagar,2023-11-23
0.2926423659851538,Prahlad Nagar,2023-11-23
0.3359367467329439,Prahlad Nagar,2023-12-08
0.3486137104157693,Prahlad Nagar,2023-12-08
0.3316783434799502,Prahlad Nagar,2023-12-18
0.3354340529257563,Prahlad Nagar,2023-12-18
0.3175286749302112,Prahlad Nagar,2023-12-23
0.3117101001906328,Prahlad Nagar,2023-12-23
0.3252691304155554,Prahlad Nagar,2024-01-02
0.2288629519824405,Prahlad Nagar,2024-01-07
0.2327328737106817,Prahlad Nagar,2024-01-07
0.3081338556395341,Prahlad Nagar,2024-01-12
0.3081411283325198,Prahlad Nagar,2024-01-12
0.2418752189325862,Prahlad Nagar,2024-01-17
0.2379393617249795,Prahlad Nagar,2024-01-17
0.2723252740980666,Prahlad Nagar,2024-02-16
0.2719412201269867,Prahlad Nagar,2024-02-16
0.2753505045428802,Prahlad Nagar,2024-03-07
0.275120509791005,Prahlad Nagar,2024-03-07
0.2751323274299166,Prahlad Nagar,2024-03-12
0.2752730079485424,Prahlad Nagar,2024-03-12
0.2692247770372853,Prahlad Nagar,2024-03-17
0.2687454626426934,Prahlad Nagar,2024-03-17
0.2809297298321124,Prahlad Nagar,2024-03-22
0.2808060119343121,Prahlad Nagar,2024-03-22
0.2703536371289192,Prahlad Nagar,2024-03-27
0.2706571760205568,Prahlad Nagar,2024-03-27
0.2744441428241915,Prahlad Nagar,2024-04-06
0.2750228267442032,Prahlad Nagar,2024-04-06
0.2811904325866368,Prahlad Nagar,2024-04-16
0.2802046223681647,Prahlad Nagar,2024-04-16
0.2676551420455368,Prahlad Nagar,2024-04-26
0.2766928866472393,Prahlad Nagar,2024-05-01
0.2763506817624535,Prahlad Nagar,2024-05-01
0.2540915070918976,Prahlad Nagar,2024-05-06
0.254459723053057,Prahlad Nagar,2024-05-06
0.2339533613459214,Prahlad Nagar,2024-05-11
0.2337010696265637,Prahlad Nagar,2024-05-11
0.2475716473659222,Prahlad Nagar,2024-05-16
0.2487148065579582,Prahlad Nagar,2024-05-16
0.2637700086512591,Prahlad Nagar,2024-05-21
0.2636273600447472,Prahlad Nagar,2024-05-21
0.215089741792591,Prahlad Nagar,2024-05-26
0.2103717099112563,Prahlad Nagar,2024-05-26
0.2422549160853829,Prahlad Nagar,2024-05-31
0.3652339618141456,Prahlad Nagar,2024-10-08
0.3641553846554262,Prahlad Nagar,2024-10-08
0.3705414023017664,Prahlad Nagar,2024-10-23
0.3658085631968852,Prahlad Nagar,2024-10-23
0.357742422592519,Prahlad Nagar,2024-10-28
0.3551213399196343,Prahlad Nagar,2024-10-28
0.3625044841882899,Prahlad Nagar,2024-11-02
0.3587247982347124,Prahlad Nagar,2024-11-02
0.3236929690206258,Prahlad Nagar,2024-11-07
0.3224982437555952,Prahlad Nagar,2024-11-07
0.3253867353611939,Prahlad Nagar,2024-11-12
0.3239268059668905,Prahlad Nagar,2024-11-12
0.3165883707232824,Prahlad Nagar,2024-11-17
0.3183797698724411,Prahlad Nagar,2024-11-17
0.3242384445982465,Prahlad Nagar,2024-11-22
0.3254171661676873,Prahlad Nagar,2024-11-22
0.3036731306748151,Prahlad Nagar,2024-11-27
0.306431232275156,Prahlad Nagar,2024-11-27
0.3107591370053945,Prahlad Nagar,2024-12-02
0.3133584774785899,Prahlad Nagar,2024-12-02
0.3118467435599125,Prahlad Nagar,2024-12-07
0.3084929270521191,Prahlad Nagar,2024-12-07
0.3032658588646977,Prahlad Nagar,2024-12-12
0.3034637938120851,Prahlad Nagar,2024-12-12
0.3035742170686679,Prahlad Nagar,2024-12-12
0.2975008339649015,Prahlad Nagar,2024-12-12
0.3006389972443608,Prahlad Nagar,2024-12-17
0.302506633841692,Prahlad Nagar,2024-12-17
0.2873678036355235,Prahlad Nagar,2025-01-01
0.2827213389403126,Prahlad Nagar,2025-01-01
0.2997119690520677,Prahlad Nagar,2025-01-06
0.2995701888489878,Prahlad Nagar,2025-01-06
0.2466610860274156,Prahlad Nagar,2025-01-11
0.2550824298595072,Prahlad Nagar,2025-01-11
0.3060442541059486,Prahlad Nagar,2025-01-16
0.3094629942539582,Prahlad Nagar,2025-01-16
0.2547099270537611,Prahlad Nagar,2025-01-21
0.2513458063497485,Prahlad Nagar,2025-01-21
0.2813004004892954,Prahlad Nagar,2025-01-26
0.2785672641519217,Prahlad Nagar,2025-01-26
0.2717701355173088,Prahlad Nagar,2025-01-31
0.2690568072991656,Prahlad Nagar,2025-01-31
0.270240779418987,Prahlad Nagar,2025-02-05
0.2688474314928558,Prahlad Nagar,2025-02-05
0.2669465708469932,Prahlad Nagar,2025-02-10
0.2648763839795543,Prahlad Nagar,2025-02-10
0.2626586526557079,Prahlad Nagar,2025-02-15
0.262625391790354,Prahlad Nagar,2025-02-15
0.2651656820814076,Prahlad Nagar,2025-02-20
0.2638005341887606,Prahlad Nagar,2025-02-20
0.26259776634131,Prahlad Nagar,2025-03-02
0.2640507598744012,Prahlad Nagar,2025-03-02
0.262971792771546,Prahlad Nagar,2025-03-07
0.2629410474309982,Prahlad Nagar,2025-03-07
0.2613120091378005,Prahlad Nagar,2025-03-12
0.2617058906749228,Prahlad Nagar,2025-03-12
0.2627949387406898,Prahlad Nagar,2025-03-14
0.2633234358862388,Prahlad Nagar,2025-03-14
0.2658773185650808,Prahlad Nagar,2025-03-22
0.2673865688617838,Prahlad Nagar,2025-03-22
0.26321264512669,Prahlad Nagar,2025-03-27
0.2637613992153808,Prahlad Nagar,2025-03-27
0.2790725316581668,Prahlad Nagar,2025-04-01
0.2797456490468878,Prahlad Nagar,2025-04-01
0.2802095327352316,Prahlad Nagar,2025-04-03
0.2806562175249307,Prahlad Nagar,2025-04-03
0.270036256544706,Prahlad Nagar,2025-04-06
0.2697278272707813,Prahlad Nagar,2025-04-06
0.2623876938512133,Prahlad Nagar,2025-04-11
0.2624672084826711,Prahlad Nagar,2025-04-11
0.2665977876669417,Prahlad Nagar,2025-04-16
0.2665746982766905,Prahlad Nagar,2025-04-16
0.2749435818171487,Prahlad Nagar,2025-04-21
0.2738876340065766,Prahlad Nagar,2025-04-21
0.2866981738943418,Prahlad Nagar,2025-04-23
0.2857791713276928,Prahlad Nagar,2025-04-23
0.26872241581623,Prahlad Nagar,2025-04-26
0.2681335892911823,Prahlad Nagar,2025-04-26
0.2449095954946848,Prahlad Nagar,2025-05-01
0.2446042061796752,Prahlad Nagar,2025-05-01
0.2762987719246571,Prahlad Nagar,2025-05-16
0.2779879200697263,Prahlad Nagar,2025-05-16
0.2758510048822397,Prahlad Nagar,2025-10-08
0.2720933691865366,Prahlad Nagar,2025-10-08
0.3447160090157053,Prahlad Nagar,2025-10-13
0.3430958977164646,Prahlad Nagar,2025-10-13
0.3297845459288963,Prahlad Nagar,2025-10-18
0.3273168426115635,Prahlad Nagar,2025-10-18
0.2850365806383266,Prahlad Nagar,2025-10-20
0.2862741200787673,Prahlad Nagar,2025-10-20
0.2708529013751055,Prahlad Nagar,2025-10-23
0.2703422399169886,Prahlad Nagar,2025-10-23
0.3526855965729929,Prahlad Nagar,2025-11-07
0.3479958367751178,Prahlad Nagar,2025-11-07
0.3293465154347356,Prahlad Nagar,2025-11-09
0.325001901266385,Prahlad Nagar,2025-11-09
