area,no2_mean,no2_min,no2_max,no2_std,no2_count,date
Isanpur,0.0001511047688389729,3.524425851364013e-05,0.0002087499552792,3.4334652389868995e-05,45,2019-02-01
Isanpur,0.0001659434925043371,9.42906409461556e-05,0.0002712689136497,3.830860409168701e-05,50,2019-03-01
Isanpur,0.00016337877335973147,0.0001095057186687,0.000236233779831,2.7857679194726713e-05,54,2019-04-01
Isanpur,0.00012801458898479984,9.381266144213098e-05,0.0001864221994765,1.9185058798443694e-05,54,2019-05-01
Isanpur,0.00011696628501948768,7.054826723868955e-05,0.000163016165008,2.109077524887778e-05,47,2019-06-01
Isanpur,0.00010494841771610724,5.985876638701011e-05,0.0001763154714009,2.946415822304674e-05,46,2019-07-01
Isanpur,9.31597043084288e-05,4.3711861508199945e-05,0.0001431986482295,2.1323121555028266e-05,54,2019-08-01
Isanpur,9.489800769734868e-05,6.896955960543969e-05,0.0001604913413757,2.0098335596874237e-05,53,2019-09-01
Isanpur,0.00011091671437304721,4.482134112983629e-05,0.0002096436374245,3.465030263747731e-05,54,2019-10-01
Isanpur,0.00013633128153243173,5.5619198044711073e-05,0.0002950601293504,4.6950571214558804e-05,46,2019-11-01
Isanpur,0.0001310395706843763,7.092089364488695e-05,0.0002299778716019,3.708746309747577e-05,48,2019-12-01
Isanpur,0.00014050414170913898,7.277975908582503e-05,0.0002895708844464,3.659456551513107e-05,50,2020-01-01
Isanpur,0.0001610683334332371,7.77545792516321e-05,0.0002527789808122,4.7592801833452657e-05,46,2020-02-01
Isanpur,0.00012321944542905374,6.59090219414793e-05,0.0002351658210758,3.928710708432924e-05,46,2020-03-01
Isanpur,8.362281031784445e-05,5.83988296866251e-05,0.0001048897561354,1.0089145231864952e-05,49,2020-04-01
Isanpur,8.535605446767348e-05,7.033666905537787e-05,9.690261531547818e-05,6.930467788063946e-06,52,2020-05-01
Isanpur,0.00010632241840394416,7.414392242047943e-05,0.0001881765876855,2.3763777332453762e-05,51,2020-06-01
Isanpur,8.761265802917469e-05,3.186934634035175e-05,0.0001240787222891,1.8848521521130954e-05,44,2020-07-01
Isanpur,7.905961129999771e-05,4.584642435451325e-05,0.0001155742662004,1.624042921228212e-05,52,2020-08-01
Isanpur,0.00010771167580453154,6.202284324180646e-05,0.0001630084965802,2.2034046380257016e-05,49,2020-09-01
Isanpur,0.00014850898307290013,7.986648458527054e-05,0.0002596447593533,4.098902208386043e-05,53,2020-10-01
Isanpur,0.00013404739492793165,6.35081735990021e-05,0.0002658428339272,3.511780390448254e-05,50,2020-11-01
Isanpur,0.00018395878395923403,0.0001106555563518,0.000387195061819,5.7439528401821725e-05,47,2020-12-01
Isanpur,0.0002381862842930837,0.0001238278970048,0.0006510134737187,0.00010496719369624757,49,2021-01-01
Isanpur,0.00021767022134031776,0.0001081844117069,0.0003397348157447,6.586818960749419e-05,45,2021-02-01
Isanpur,0.000229328002640376,0.0001081971640815,0.0004944058018737,8.15401201531594e-05,50,2021-03-01
Isanpur,0.000181523675900883,0.0001112135471047,0.0003512791008689,5.496457103318207e-05,53,2021-04-01
